well,variable,value,ercc
A04,S036,8.13955135239879,9.44501484586842
A04,S037,5.8073549220576,9.48381577726426
A04,S038,12.3864014236408,9.64745842645492
A04,S039,18.0052736565639,9.35535109642481
A05,C151,14.474022762748,9.04984854945056
A05,C152,15.2705508419328,9.16741814583174
A05,P215,14.797914785758,9.18982455888002
A05,S020,2.58496250072116,9.60547951806167
A05,S022,6.16992500144231,3.32192809488736
A05,S024,4.90689059560852,9.4262647547021
A05,S025,13.8665062122262,9.80574387215162
A05,S026,7.45121111183233,9.4594316186373
A05,S027,7.48381577726426,9.58871463558226
A05,S029,9.87344411251538,9.29001884693262
A05,S030,12.5335730813898,9.38801728534514
A05,S031,13.0887882387169,9.30833903013941
A05,S032,13.7845326101437,9.62021982550749
A05,S033,7.3037807481771,9.07146236255662
A05,S034,12.3834343018228,1.58496250072116
A05,S035,5.64385618977472,9.07681559705083
A05,S036,15.108606128778,8.77807712953536
A05,S037,8.56985560833095,9.75321674917896
A05,S038,12.6284455401372,2.58496250072116
A05,S039,16.700480358392,8.91886323727459
A06,C151,7.62205181945638,10.3342732853072
A06,C152,13.7488217946147,9.5980525001616
A06,P215,8.81378119121704,9.7515440590891
A06,S020,2,9.97584796800678
A06,S022,5,9.56224242422107
A06,S024,3.4594316186373,9.86108690599539
A06,S025,13.5923402340424,8.95419631038687
A06,S026,9.86263735755879,9.39016895620018
A06,S027,9.75822321472672,10.1598713367784
A06,S029,4.32192809488736,10.047123912114
A06,S030,5,9.43671154213721
A06,S031,6.02236781302845,10.1811522568656
A06,S032,7.56224242422107,9.95419631038687
A06,S033,9.81057163474115,9.96289600533726
A06,S034,11.753216749179,9.81858217748086
A06,S035,2.32192809488736,8.0389189892923
A06,S036,17.0992553375262,1.58496250072116
A06,S037,11.2877123795494,9.83289001416474
A06,S038,9.7431513941125,9.94836723158468
A06,S039,9.56033283421244,9.88874324889826
A07,C151,10.1959872980285,9.7431513941125
A07,C152,15.2215871212648,9.47167521439204
A07,P215,9.01402047031493,9.8073549220576
A07,S020,1,9.22158712126481
A07,S022,7.70735913208088,9.79603960882977
A07,S024,2.58496250072116,8.81698362325538
A07,S025,7.22881869049588,9.57364718749332
A07,S026,10.5313814605163,9.05799172275918
A07,S027,5.16992500144231,9.81378119121704
A07,S029,7.62205181945638,9.83447104998422
A07,S030,8.97441458980553,9.54496443278924
