Pos	cDNA	Gene	Name	Cp	Status	Well
G10	MU041_133	PROM1	MU041_133PROM1	23.98		G10
G11	MU041_133	SOX2	MU041_133SOX2	23.9		G11
G12	MU041_133	SOX2	MU041_133SOX2	23.94		G12
G13	MU041_133	TUBB3	MU041_133TUBB3	30.01		G13
G14	MU041_133	TUBB3	MU041_133TUBB3	30.58		G14
G15	MU041_133	VIM	MU041_133VIM	19.92		G15
G16	MU041_133	VIM	MU041_133VIM	20		G16
G17	MU041_fcs	BIIITUB	MU041_fcsBIIITUB	30.75		G17
G18	MU041_fcs	GAPDH	MU041_fcsGAPDH	18.65		G18
G19	MU041_fcs	GFAP	MU041_fcsGFAP	23.82		G19
G20	MU041_fcs	NES	MU041_fcsNES	28.13		G20
G21	MU041_fcs	OLIG2	MU041_fcsOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	G21
G22	MU041_fcs	POU5F1	MU041_fcsPOU5F1	22.84		G22
G23	MU041_fcs	PROM1	MU041_fcsPROM1	27.09		G23
G24	MU041_fcs	SOX2	MU041_fcsSOX2	25.7		G24
H1	MU041_DP	CD44	MU041_DPCD44	32.77		H1
H2	MU041_DP	CD44	MU041_DPCD44	31.68		H2
H3	MU041_DP	GAPDH	MU041_DPGAPDH	21.12		H3
H4	MU041_DP	GAPDH	MU041_DPGAPDH	21.17		H4
H5	MU041_DP	OLIG2	MU041_DPOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	H5
H6	MU041_DP	OLIG2	MU041_DPOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	H6
H7	MU041_DP	POU5F1	MU041_DPPOU5F1			H7
H8	MU041_DP	POU5F1	MU041_DPPOU5F1	29.64		H8
H9	MU041_DP	PROM1	MU041_DPPROM1	29.13		H9
H10	MU041_DP	PROM1	MU041_DPPROM1	30.21		H10
H11	MU041_DP	SOX2	MU041_DPSOX2	27.24		H11
H12	MU041_DP	SOX2	MU041_DPSOX2	27.66		H12
H13	MU041_DP	TUBB3	MU041_DPTUBB3	34.02		H13
H14	MU041_DP	TUBB3	MU041_DPTUBB3	34.58		H14
H15	MU041_DP	VIM	MU041_DPVIM	23.98		H15
H16	MU041_DP	VIM	MU041_DPVIM	24.13		H16
H17	MU041_fcs	BIIITUB	MU041_fcsBIIITUB	30.87		H17
H18	MU041_fcs	GAPDH	MU041_fcsGAPDH	18.72		H18
H19	MU041_fcs	GFAP	MU041_fcsGFAP	23.58		H19
H20	MU041_fcs	NES	MU041_fcsNES	28.13		H20
H21	MU041_fcs	OLIG2	MU041_fcsOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	H21
H22	MU041_fcs	POU5F1	MU041_fcsPOU5F1	22.67		H22
H23	MU041_fcs	PROM1	MU041_fcsPROM1	27.34		H23
H24	MU041_fcs	SOX2	MU041_fcsSOX2	25.1		H24
I1	MU020_DN	CD44	MU020_DNCD44	23.88		I1
I2	MU020_DN	CD44	MU020_DNCD44	23.91		I2
I3	MU020_DN	GAPDH	MU020_DNGAPDH	19.66		I3
I4	MU020_DN	GAPDH	MU020_DNGAPDH	19.65		I4
I5	MU020_DN	OLIG2	MU020_DNOLIG2	33.74		I5
I6	MU020_DN	OLIG2	MU020_DNOLIG2	33.68		I6
I7	MU020_DN	PROM1	MU020_DNPROM1	23.75		I7
I8	MU020_DN	PROM1	MU020_DNPROM1			I8
I9	MU020_133	CD44	MU020_44CD44	28.82		I9
I10	MU020_133	CD44	MU020_44CD44	28.77		I10
I11	MU020_133	GAPDH	MU020_44GAPDH	24.77		I11
I12	MU020_133	GAPDH	MU020_44GAPDH	24.94		I12
I13	MU020_133	OLIG2	MU020_44OLIG2	32.92		I13
I14	MU020_133	OLIG2	MU020_44OLIG2	32.01		I14
I15	MU020_133	PROM1	MU020_44PROM1	21.84		I15
I16	MU020_133	PROM1	MU020_44PROM1	21.82		I16
I17	H9_NSC	BIIITUB	H9_NSCBIIITUB	32.26		I17
I18	H9_NSC	GAPDH	H9_NSCGAPDH	18.05		I18
I19	H9_NSC	GFAP	H9_NSCGFAP	32.92		I19
I20	H9_NSC	NES	H9_NSCNES	28.04		I20
I21	H9_NSC	OLIG2	H9_NSCOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	I21
I22	H9_NSC	POU5F1	H9_NSCPOU5F1	24.77		I22
I23	H9_NSC	PROM1	H9_NSCPROM1	25.21		I23
I24	H9_NSC	SOX2	H9_NSCSOX2	24.26		I24
J1	MU020_44	CD44	MU020_133CD44	23.47		J1
J2	MU020_44	CD44	MU020_133CD44	23.49		J2
J3	MU020_44	GAPDH	MU020_133GAPDH	17.73		J3
J4	MU020_44	GAPDH	MU020_133GAPDH	17.71		J4
J5	MU020_44	OLIG2	MU020_133OLIG2	31.14		J5
J6	MU020_44	OLIG2	MU020_133OLIG2	31.14		J6
J7	MU020_44	PROM1	MU020_133PROM1	30.21		J7
J8	MU020_44	PROM1	MU020_133PROM1			J8
J9	MU020_DP	CD44	MU020_DPCD44	28.78		J9
J10	MU020_DP	CD44	MU020_DPCD44	29.55		J10
J11	MU020_DP	GAPDH	MU020_DPGAPDH	25.97		J11
J12	MU020_DP	GAPDH	MU020_DPGAPDH	26.13		J12
J13	MU020_DP	OLIG2	MU020_DPOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	J13
J14	MU020_DP	OLIG2	MU020_DPOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	J14
J15	MU020_DP	PROM1	MU020_DPPROM1	25.76		J15
J16	MU020_DP	PROM1	MU020_DPPROM1	25.74		J16
J17	H9_NSC	BIIITUB	H9_NSCBIIITUB	33.18		J17
J18	H9_NSC	GAPDH	H9_NSCGAPDH	18.09		J18
J19	H9_NSC	GFAP	H9_NSCGFAP	33.01		J19
J20	H9_NSC	NES	H9_NSCNES	28.09		J20
J21	H9_NSC	OLIG2	H9_NSCOLIG2	40	> - Late Cp call (last five cycles) has higher uncertainty	J21
J22	H9_NSC	POU5F1	H9_NSCPOU5F1	24.43		J22
J23	H9_NSC	PROM1	H9_NSCPROM1	24.92		J23
J24	H9_NSC	SOX2	H9_NSCSOX2	24.42		J24
K1	RT	control	RTcontrol			K1
