"PDGC","Subpopulation","cDNA","Gene","rep1","rep2","meanCp","sdCp","reps","ddCT","foldChange"
"MU041","133","MU041_133","SOX2",23.9,23.94,23.92,0.0282842712474638,2,0.34,1.26575659397028
"MU041","133","MU041_133","SOX2",23.9,23.94,23.92,0.0282842712474638,2,-0.825000000000003,0.564482202403064
"MU041","133","MU041_133","TUBB3",30.01,30.58,30.295,0.40305086527633,2,3.365,10.3030530360786
"MU041","133","MU041_133","VIM",19.92,20,19.96,0.0565685424949226,2,-0.670000000000002,0.628506687260913
"MU041","44","MU041_44","CD44",28.51,28.42,28.465,0.0636396103067892,2,8.885,472.77174309345
"MU041","44","MU041_44","GAPDH",19.61,19.6,19.605,0.00707106781186407,2,-0.920000000000002,0.52850902028069
"MU041","44","MU041_44","GAPDH",19.61,19.6,19.605,0.00707106781186407,2,-0.684999999999999,0.622005826649235
"MU041","44","MU041_44","OLIG2",37.86,37.72,37.79,0.0989949493661171,2,-3.35,0.0980730122370937
"MU041","44","MU041_44","OLIG2",37.86,37.72,37.79,0.0989949493661171,2,-1.83000000000001,0.281264621172201
"MU041","44","MU041_44","POU5F1",NA,NA,NA,NA,2,NA,NA
"MU041","44","MU041_44","PROM1",30.82,31.75,31.285,0.657609306503489,2,-4.17,0.0555526675729107
"MU041","44","MU041_44","PROM1",30.82,31.75,31.285,0.657609306503489,2,-2.805,0.143090520074836
"MU041","44","MU041_44","SOX2",25.69,25.78,25.735,0.0636396103067892,2,3.06000000000001,8.33972608672901
"MU041","44","MU041_44","SOX2",25.69,25.78,25.735,0.0636396103067892,2,-2.64,0.160428237195363
"MU041","44","MU041_44","TUBB3",31.66,31.76,31.71,0.0707106781186558,2,1.03,2.04202425141438
"MU041","44","MU041_44","VIM",29.42,30.29,29.855,0.615182899632295,2,-10.94,0.000509016484785703
"MU041","DN","MU041_DN","CD44",32.96,33.42,33.19,0.325269119345812,2,2.62,6.14750072515205
"MU041","DN","MU041_DN","GAPDH",16.98,16.99,16.985,0.00707106781186407,2,0,1
"MU041","DN","MU041_DN","GAPDH",16.98,16.99,16.985,0.00707106781186407,2,1.935,3.82378127037497
"MU041","DN","MU041_DN","OLIG2",34.76,34.87,34.815,0.0777817459305198,2,4.16,17.8765942091556
"MU041","DN","MU041_DN","OLIG2",34.76,34.87,34.815,0.0777817459305198,2,1.145,2.21146130664053
"MU041","DN","MU041_DN","POU5F1",29.95,NA,29.95,NA,2,1.7,3.24900958542494
"MU041","DN","MU041_DN","POU5F1",29.95,NA,29.95,NA,2,-6.005,0.0155709416066854
"MU041","DN","MU041_DN","PROM1",27.06,27.17,27.115,0.0777817459305223,2,-0.375,0.77110541270397
"MU041","DN","MU041_DN","PROM1",27.06,27.17,27.115,0.0777817459305223,2,1.365,2.57576325901965
"MU041","DN","MU041_DN","SOX2",24.67,24.6,24.635,0.0494974746830585,2,2.62,6.14750072515205
"MU041","DN","MU041_DN","SOX2",24.67,24.6,24.635,0.0494974746830585,2,-1.54,0.343885454534935
"MU041","DN","MU041_DN","TUBB3",30.88,31.2,31.04,0.226274169979695,2,0,1
"MU041","DN","MU041_DN","VIM",19.29,19.29,19.29,0,2,4.16,17.8765942091556
"MU041","DP","MU041_DP","CD44",32.77,31.68,32.225,0.770746391493339,2,2.665,6.34227309288226
"MU041","DP","MU041_DP","GAPDH",21.12,21.17,21.145,0.0353553390593279,2,-4.535,0.0431349172936445
"MU041","DP","MU041_DP","GAPDH",21.12,21.17,21.145,0.0353553390593279,2,-2.225,0.21389875642065
"MU041","DP","MU041_DP","OLIG2",40,40,40,0,2,-2.565,0.168988854128516
"MU041","DP","MU041_DP","OLIG2",40,40,40,0,2,-4.04000000000001,0.0607909342132676
"MU041","DP","MU041_DP","POU5F1",NA,29.64,29.64,NA,2,0.309999999999999,1.23970769993899
"MU041","DP","MU041_DP","POU5F1",NA,29.64,29.64,NA,2,-5.695,0.0193034162051083
"MU041","DP","MU041_DP","PROM1",29.13,30.21,29.67,0.763675323681473,2,1.605,3.04195750648203
"MU041","DP","MU041_DP","PROM1",29.13,30.21,29.67,0.763675323681473,2,-1.19,0.438302860658017
"MU041","DP","MU041_DP","SOX2",27.24,27.66,27.45,0.296984848098351,2,-1.115,0.461691155364698
"MU041","DP","MU041_DP","SOX2",27.24,27.66,27.45,0.296984848098351,2,-4.355,0.0488668526955371
"MU041","DP","MU041_DP","TUBB3",34.02,34.58,34.3,0.395979797464463,2,-3.635,0.0804926018443642
"MU041","DP","MU041_DP","VIM",23.98,24.13,24.055,0.106066017177981,2,-2.145,0.226094844390272
"MU041","fcs","MU041_fcs","BIIITUB",30.75,30.87,30.81,0.0848528137423864,2,1.27,2.41161565538153
"MU041","fcs","MU041_fcs","GAPDH",18.65,18.72,18.685,0.0494974746830585,2,0.235000000000003,1.17690673721877
"MU041","fcs","MU041_fcs","GFAP",23.82,23.58,23.7,0.169705627484773,2,8.585,384.009981257169
"MU041","fcs","MU041_fcs","NES",28.13,28.13,28.13,0,2,-2.765,0.147113342152346
"MU041","fcs","MU041_fcs","OLIG2",40,40,40,0,2,-4.805,0.0357726300187088
"MU041","fcs","MU041_fcs","POU5F1",22.84,22.67,22.755,0.120208152801712,2,1.565,2.95877501849767
"MU041","fcs","MU041_fcs","PROM1",27.09,27.34,27.215,0.176776695296637,2,2.805,6.98858316733357
"MU041","fcs","MU041_fcs","SOX2",25.7,25.1,25.4,0.424264068711927,2,-0.605,0.657471380102535
